category_code,vi_caption,en_caption
Sec_TM_69,     Chứng khoán phong tỏa chờ rút,Blocked securities pending withdrawal
Sec_TM_74,     Chứng khoán chờ giao dịch,Securities pending trading
Sec_TM_79,     Chứng khoán ký quỹ đảm bảo khoản vay,Securities as margin for loan guarantee
Sec_TM_89,     Tiền mặt,Cash
Sec_TM_90,     Tiền gửi ngân hàng,Bank deposits
Sec_TM_100,GIÁ TRỊ GIAO DỊCH THỰC HIỆN TRONG KỲ CỦA CTCK,VALUE OF TRANSACTIONS PERFORMED DURING THE PERIOD BY SECURITIES COMPANIES
Sec_TM_101,     Giá trị Cổ phiếu,Value of Stocks
Sec_TM_102,     Giá trị Trái phiếu,Value of Bonds
Sec_TM_108,GIÁ TRỊ GIAO DỊCH THỰC HIỆN TRONG KỲ CỦA NĐT,VALUE OF TRANSACTIONS PERFORMED DURING THE PERIOD BY INVESTORS
Sec_TM_109,     Giá trị Cổ phiếu,Value of Stocks
Sec_TM_110,     Giá trị Trái phiếu,Value of Bonds
Sec_TM_246,TRÍCH LẬP DỰ PHÒNG GIẢM GIÁ CÁC TÀI SẢN TÀI CHÍNH,PROVISION FOR IMPAIRMENT OF FINANCIAL ASSETS
Sec_TM_371,"     Phải trả hộ cổ tức, gốc và lãi trái phiếu cho Nhà đầu tư","Payables on behalf of investors for dividends, principal, and interest of bonds"
Sec_TM_409,     Vay ngân hàng,Bank loans
Sec_TM_410,     Vay đối tượng khác,Loans from other entities
Sec_TM_411,     Trái phiếu phát hành,Bonds issued
Sec_TM_412,     Thuê tài chính,Financial leases
Sec_TM_413,     Nợ dài hạn khác,Other long-term liabilities
Corp_TM_2,     Tiền mặt,Cash
Corp_TM_3,     Tiền gửi Ngân hàng,Bank deposits
Corp_TM_7,     Chứng khoán đầu tư ngắn hạn,Short-term investments
Corp_TM_20,"     Nguyên liệu, vật liệu","Raw materials, supplies"
Corp_TM_23,     Thành phẩm,Finished goods
Corp_TM_24,     Hàng hóa,Merchandise
Corp_TM_25,     Hàng gửi đi bán,Goods on consignment
Corp_TM_26,     Hàng hoá kho bảo thuế,Goods in bonded warehouses
Corp_TM_27,     Hàng hoá bất động sản,Real estate goods
Corp_TM_105,     Vay ngân hàng,Bank loans
Corp_TM_106,     Vay đối tượng khác,Loans from other entities
Corp_TM_107,     Trái phiếu phát hành,Bonds issued
Corp_TM_108,     Thuê tài chính,Financial leases
Corp_TM_114,     Doanh thu bán hàng,Sales revenue
Corp_TM_115,     Doanh thu cung cấp dịch vụ,Revenue from service provision
Corp_TM_116,     Doanh thu hợp đồng xây dựng,Revenue from construction contracts
Corp_TM_134,"     Lãi tiền gửi, tiền cho vay",Interest income from deposits and loans
Corp_TM_135,"     Lãi đầu tư trái phiếu, kỳ phiếu, tín phiếu","Interest income from bonds, promissory notes, treasury bills"
Corp_TM_136,"     Cổ tức, lợi nhuận được chia","Dividends, profit share received"
Corp_TM_137,"     Lãi từ bán, thanh lý các khoản đầu tư","Gain from sale, liquidation of investments"
Corp_TM_144,     Lãi tiền vay,Loan interest
